map_size,sigma,learning_rate,init_method,qe,n_cluster
2x2,0.1,0.1,random_init,0.7730890554666012,4
2x2,0.1,0.2,random_init,0.7931448368696901,4
2x2,0.1,0.3,random_init,0.8049010887125405,4
2x2,0.1,0.4,random_init,0.8214682168003324,4
2x2,0.1,0.5,random_init,0.8268782783389347,4
2x2,0.1,0.6,random_init,0.8332749897968671,4
2x2,0.1,0.7,random_init,0.8409745876878333,4
2x2,0.1,0.8,random_init,0.8464420575182654,4
2x2,0.1,0.9,random_init,0.8515573511304388,4
2x2,0.2,0.1,random_init,0.7730890555686263,4
2x2,0.2,0.2,random_init,0.793144836869845,4
2x2,0.2,0.3,random_init,0.8049010887125405,4
2x2,0.2,0.4,random_init,0.8214682168003324,4
2x2,0.2,0.5,random_init,0.8268782783389347,4
2x2,0.2,0.6,random_init,0.8332749897968671,4
2x2,0.2,0.7,random_init,0.8409745876878333,4
2x2,0.2,0.8,random_init,0.8464420575182654,4
2x2,0.2,0.9,random_init,0.8515573511304388,4
2x2,0.3,0.1,random_init,0.7730894734369438,4
2x2,0.3,0.2,random_init,0.7931448381070968,4
2x2,0.3,0.3,random_init,0.8049010887131361,4
2x2,0.3,0.4,random_init,0.8214682168003382,4
2x2,0.3,0.5,random_init,0.8268782783389353,4
2x2,0.3,0.6,random_init,0.8332749897968671,4
2x2,0.3,0.7,random_init,0.8409745876878333,4
2x2,0.3,0.8,random_init,0.8464420575182654,4
2x2,0.3,0.9,random_init,0.8515573511304388,4
2x2,0.4,0.1,random_init,0.7727419766507427,4
2x2,0.4,0.2,random_init,0.7931450021606098,4
2x2,0.4,0.3,random_init,0.8049010891923116,4
2x2,0.4,0.4,random_init,0.8214682168384865,4
2x2,0.4,0.5,random_init,0.8268782770896829,4
2x2,0.4,0.6,random_init,0.8332749897963475,4
2x2,0.4,0.7,random_init,0.8409745877141827,4
2x2,0.4,0.8,random_init,0.846442057516079,4
2x2,0.4,0.9,random_init,0.851557351130617,4
2x2,0.5,0.1,random_init,0.7730778847281274,4
2x2,0.5,0.2,random_init,0.7931471731239802,4
2x2,0.5,0.3,random_init,0.8179614824601555,4
2x2,0.5,0.4,random_init,0.8214682370130926,4
2x2,0.5,0.5,random_init,0.8268782735238293,4
2x2,0.5,0.6,random_init,0.8332749946408782,4
2x2,0.5,0.7,random_init,0.840974590241062,4
2x2,0.5,0.8,random_init,0.846442059639957,4
2x2,0.5,0.9,random_init,0.8515573518621349,4
2x2,0.6,0.1,random_init,0.7734731443148187,4
2x2,0.6,0.2,random_init,0.8063133870158317,4
2x2,0.6,0.3,random_init,0.8179835387918415,4
2x2,0.6,0.4,random_init,0.8214235478617129,4
2x2,0.6,0.5,random_init,0.8268780472730497,4
2x2,0.6,0.6,random_init,0.8332750276070213,4
2x2,0.6,0.7,random_init,0.8409751935401134,4
2x2,0.6,0.8,random_init,0.846442574220387,4
2x2,0.6,0.9,random_init,0.8515575724136923,4
2x2,0.7,0.1,random_init,0.786088867305427,4
2x2,0.7,0.2,random_init,0.7951438390156191,4
2x2,0.7,0.3,random_init,0.8180141808504178,4
2x2,0.7,0.4,random_init,0.81836235255848,4
2x2,0.7,0.5,random_init,0.8268897109785791,4
2x2,0.7,0.6,random_init,0.833277756069972,4
2x2,0.7,0.7,random_init,0.8409791765694637,4
2x2,0.7,0.8,random_init,0.8464461470040004,4
2x2,0.7,0.9,random_init,0.8515634136048863,4
2x2,0.8,0.1,random_init,0.7880658229974026,4
2x2,0.8,0.2,random_init,0.7959453102540873,4
2x2,0.8,0.3,random_init,0.8181920022291685,4
2x2,0.8,0.4,random_init,0.8184542986449724,4
2x2,0.8,0.5,random_init,0.8268906747705079,4
2x2,0.8,0.6,random_init,0.833310368868341,4
2x2,0.8,0.7,random_init,0.8410015547037808,4
2x2,0.8,0.8,random_init,0.8464969876100468,4
2x2,0.8,0.9,random_init,0.8516011176019891,4
2x2,0.9,0.1,random_init,0.7940105347647768,4
2x2,0.9,0.2,random_init,0.7967000798066943,4
2x2,0.9,0.3,random_init,0.8111657492185558,4
2x2,0.9,0.4,random_init,0.8191536709528817,4
2x2,0.9,0.5,random_init,0.8270496871143272,4
2x2,0.9,0.6,random_init,0.8335098681724432,4
2x2,0.9,0.7,random_init,0.8411514770081713,4
2x2,0.9,0.8,random_init,0.8466473763572353,4
2x2,0.9,0.9,random_init,0.8518479716239366,4
3x3,0.1,0.1,random_init,0.5994339052931752,9
3x3,0.1,0.2,random_init,0.6112338926448119,9
3x3,0.1,0.3,random_init,0.48669227007977695,9
3x3,0.1,0.4,random_init,0.5125495147578825,9
3x3,0.1,0.5,random_init,0.5166739847996965,9
3x3,0.1,0.6,random_init,0.5206064276896643,9
3x3,0.1,0.7,random_init,0.48960511997402606,9
3x3,0.1,0.8,random_init,0.6148217909137683,9
3x3,0.1,0.9,random_init,0.5991269237528616,9
3x3,0.2,0.1,random_init,0.5902193089986557,9
3x3,0.2,0.2,random_init,0.6096499564621622,9
3x3,0.2,0.3,random_init,0.5365338601528751,9
3x3,0.2,0.4,random_init,0.5300654217852115,9
3x3,0.2,0.5,random_init,0.5079770740036809,9
3x3,0.2,0.6,random_init,0.5442846279137432,9
3x3,0.2,0.7,random_init,0.49960191749882926,9
3x3,0.2,0.8,random_init,0.5591094092749985,9
3x3,0.2,0.9,random_init,0.5991267676570605,9
3x3,0.3,0.1,random_init,0.6008364261014174,9
3x3,0.3,0.2,random_init,0.5256886329384587,9
3x3,0.3,0.3,random_init,0.537428076615049,9
3x3,0.3,0.4,random_init,0.5556234659498045,9
3x3,0.3,0.5,random_init,0.5079771365667026,9
3x3,0.3,0.6,random_init,0.5442846672617005,9
3x3,0.3,0.7,random_init,0.4996019113861673,9
3x3,0.3,0.8,random_init,0.5591094092752282,9
3x3,0.3,0.9,random_init,0.5972602544027767,9
3x3,0.4,0.1,random_init,0.5974054677933454,9
3x3,0.4,0.2,random_init,0.6100874017378014,9
3x3,0.4,0.3,random_init,0.5322495995243585,9
3x3,0.4,0.4,random_init,0.5409106367559686,9
3x3,0.4,0.5,random_init,0.5431494698376176,9
3x3,0.4,0.6,random_init,0.48877663779884095,9
3x3,0.4,0.7,random_init,0.5132842479914548,9
3x3,0.4,0.8,random_init,0.5544425681841146,9
3x3,0.4,0.9,random_init,0.5972604309641815,9
3x3,0.5,0.1,random_init,0.6171841846500261,9
3x3,0.5,0.2,random_init,0.5976318623669598,9
3x3,0.5,0.3,random_init,0.5188909661065184,9
3x3,0.5,0.4,random_init,0.48562644270736793,9
3x3,0.5,0.5,random_init,0.5353201064418346,9
3x3,0.5,0.6,random_init,0.54664638575695,9
3x3,0.5,0.7,random_init,0.5176306713344075,9
3x3,0.5,0.8,random_init,0.5579217253761489,9
3x3,0.5,0.9,random_init,0.5687605858640563,9
3x3,0.6,0.1,random_init,0.6030599285119524,9
3x3,0.6,0.2,random_init,0.527324499337383,9
3x3,0.6,0.3,random_init,0.5055334757096713,9
3x3,0.6,0.4,random_init,0.5196086632791207,9
3x3,0.6,0.5,random_init,0.5075378140628559,9
3x3,0.6,0.6,random_init,0.5442570590480003,9
3x3,0.6,0.7,random_init,0.5550212695492853,9
3x3,0.6,0.8,random_init,0.6079029768007128,9
3x3,0.6,0.9,random_init,0.5598724607272405,9
3x3,0.7,0.1,random_init,0.6207339280914843,9
3x3,0.7,0.2,random_init,0.5321630085245826,9
3x3,0.7,0.3,random_init,0.5052944927612851,9
3x3,0.7,0.4,random_init,0.5067858926930182,9
3x3,0.7,0.5,random_init,0.5097899558828951,9
3x3,0.7,0.6,random_init,0.5111209563424559,9
3x3,0.7,0.7,random_init,0.5527303290337306,9
3x3,0.7,0.8,random_init,0.5613081519140052,9
3x3,0.7,0.9,random_init,0.5683458435260667,9
3x3,0.8,0.1,random_init,0.5348518700656446,9
3x3,0.8,0.2,random_init,0.5246406793239881,9
3x3,0.8,0.3,random_init,0.5072893944822913,9
3x3,0.8,0.4,random_init,0.5362210619371203,9
3x3,0.8,0.5,random_init,0.5172400982226143,9
3x3,0.8,0.6,random_init,0.546227831919528,9
3x3,0.8,0.7,random_init,0.534808236829837,9
3x3,0.8,0.8,random_init,0.5586969524175069,9
3x3,0.8,0.9,random_init,0.5426751785793896,9
3x3,0.9,0.1,random_init,0.5365529202265152,9
3x3,0.9,0.2,random_init,0.5309327437546077,9
3x3,0.9,0.3,random_init,0.510288376870297,9
3x3,0.9,0.4,random_init,0.5103963961885516,9
3x3,0.9,0.5,random_init,0.5526412373775285,9
3x3,0.9,0.6,random_init,0.5112097351125411,9
3x3,0.9,0.7,random_init,0.5177100533645737,9
3x3,0.9,0.8,random_init,0.5552157139081257,9
3x3,0.9,0.9,random_init,0.5670003951700352,9
4x4,0.1,0.1,random_init,0.37612886217665525,16
4x4,0.1,0.2,random_init,0.3772116366519627,16
